frequenze,Z_real,Z_imag,Z_fit_real,Z_fit_imag
0.0031623,0.0494998977640506,-0.020438698544418925,0.054854436096617346,-0.01694711959167398
0.0039811,0.04776559257398882,-0.0182856893045487,0.050919930138594346,-0.017339757199645468
0.0050119,0.04613581757142157,-0.016343158966700824,0.047012701391700454,-0.016834392958749056
0.0063096,0.044596836301773274,-0.014589168660649915,0.04350923700723016,-0.015554681316489667
0.0079433,0.043142303861239205,-0.01300096361736358,0.040644062925650884,-0.01377693281067284
0.01,0.04181678802099761,-0.011573009182824043,0.03847213135259317,-0.011804081637682436
0.012589,0.040606740929859095,-0.010282133623145187,0.036918655973076725,-0.009871815990555475
0.015849,0.03951932383144551,-0.009113366697002839,0.03585280372411855,-0.008119443056080346
0.019953,0.03856629404354767,-0.00804494958277692,0.03514252085428406,-0.006607249900288571
0.025119,0.03773445890891119,-0.007075702921918925,0.03467825019324887,-0.005343870428542979
0.031623,0.037013908851197805,-0.006209940124316647,0.034378494958518586,-0.004310915808890885
0.039811,0.03639992299924442,-0.005450664199993216,0.03418646924325572,-0.003479666705196545
0.050119,0.035883179203561086,-0.004804611324614652,0.03406396003537162,-0.002819501565304772
0.063096,0.03544780816944048,-0.0042630212172992624,0.03398583757152892,-0.0023022683652940525
0.079433,0.03506693121253139,-0.003816723014957778,0.033935770033912446,-0.001903991041812795
0.1,0.034721707243418394,-0.003465230467686932,0.03390316332514864,-0.0016052579460965207
0.12589,0.03440366308110683,-0.0031936182833490197,0.033881066492759196,-0.0013910693900053921
0.15849,0.03410783765793668,-0.0029843274850640607,0.03386474013381557,-0.0012503998879782117
0.19953,0.033821109172144787,-0.0028420187384119175,0.03385068201249531,-0.0011759744626541006
0.25119,0.03353616639243526,-0.0027510821389620833,0.03383587209821815,-0.0011638078111641968
0.31623,0.0332524554516705,-0.0027092774650327093,0.03381713356675639,-0.0012130493358873638
0.39811,0.03295910966053001,-0.002716402585530142,0.033790475189876,-0.001325849633127579
0.50119,0.03265642728210896,-0.0027688021541761596,0.03375027200838015,-0.0015072335783668702
0.63096,0.03232796211965539,-0.0028687505233332576,0.03368816626217248,-0.0017649062772184122
0.79433,0.03197349380289498,-0.002995332546857452,0.03359154477718803,-0.002108749608307891
1.0,0.03158436174556338,-0.0031633863009665544,0.03344149336732915,-0.002549634479999205
1.2589,0.031069936132208306,-0.0034345232421858604,0.03321033985619445,-0.003096824850068687
1.5849,0.030461419854177326,-0.003652697342055591,0.03285921301460898,-0.003753363989523327
1.9953,0.029900714166654168,-0.00389594513544332,0.032337829463041826,-0.004507348044589223
2.5119,0.029379111339927506,-0.0041496368125138496,0.031589280001798704,-0.005320793214355135
3.1623,0.028614488514401064,-0.0043563647278047945,0.030564756506120776,-0.006118675098989024
3.9811,0.027877380810968015,-0.004528514961203703,0.02925104886640879,-0.006787567859599499
5.0119,0.027051941695755265,-0.004623972802104744,0.027700428961257056,-0.007198601341702979
6.3096,0.02622642987302172,-0.00463483440841946,0.02603945863737402,-0.0072555958730880134
7.9433,0.02539677675995668,-0.004562544489738368,0.024435428070666086,-0.006942781003793305
10.0,0.024674033206038913,-0.0044183840649258165,0.023034138391708432,-0.006333313232104704
12.589,0.023984220630662276,-0.004213943600562558,0.021913293481884876,-0.005550852024115268
15.849,0.023376189861574193,-0.00397620055979716,0.02107807844424248,-0.004716886648988563
19.953,0.022795788586331325,-0.0037290248504921668,0.020488251488925826,-0.003919358161420648
25.119,0.022290491192888506,-0.0035578892246933775,0.020087285354185715,-0.003206532363735773
31.623,0.02183347892172112,-0.0033509582749051627,0.019821654514875036,-0.0025960966164022942
39.811,0.021423948245372654,-0.0031826464281827804,0.0196487150797027,-0.0020875249335974137
50.119,0.021044983846558948,-0.0030507184111723995,0.019537387847047682,-0.0016711563876500451
63.096,0.02061274834162727,-0.0029386920239828154,0.019466242538878874,-0.001334034285041904
79.433,0.02020959510042839,-0.002848034411523496,0.019420987905116253,-0.0010629907868351326
100.0,0.019760492004316906,-0.0027583877127425357,0.01939228730274852,-0.0008460417952964754
125.89,0.019397188854563818,-0.0026767011351060705,0.019374120679619255,-0.0006728913003488493
158.49,0.01898347057349932,-0.002575856490231119,0.01936263259323342,-0.0005349068368221907
199.53,0.018562859805406066,-0.002455805016755156,0.019355375317891804,-0.00042509784155850017
251.19,0.018173948838613962,-0.0023163152672671405,0.01935079311938951,-0.00033777831797854535
316.23,0.017777098024495532,-0.002149498808757098,0.019347900229143487,-0.0002683598402204244
398.11,0.017382944047369668,-0.0019492643145405137,0.019346074361116627,-0.00021319257659476923
501.19,0.017027408256891644,-0.0017151675874650793,0.01934492208628358,-0.00016935858015914616
630.96,0.016664493440403796,-0.0014357936694323731,0.019344194952836857,-0.00013453320935929975
794.33,0.016338702344109557,-0.001109438368794195,0.019343736125004465,-0.00010686711274292938
1000.0,0.0160611742499297,-0.0007287022309982213,0.019343446608366455,-8.48894446525075e-05
1258.9,0.01580888106340524,-0.0002827724289657194,0.01934326394018226,-6.743229133954965e-05
