frequenze,Z_real,Z_imag,Z_fit_real,Z_fit_imag
0.0031623,0.0494998977640506,-0.020438698544418925,0.04926930016211721,-0.019057409480187845
0.0039811,0.04776559257398882,-0.0182856893045487,0.048242622984184504,-0.01705716293254552
0.0050119,0.04613581757142157,-0.016343158966700824,0.046954991178527083,-0.015504671523296555
0.0063096,0.044596836301773274,-0.014589168660649915,0.0454698949719375,-0.014176987858405413
0.0079433,0.043142303861239205,-0.01300096361736358,0.043906838544887486,-0.012920302907801755
0.01,0.04181678802099761,-0.011573009182824043,0.04239879245981658,-0.011675347015077503
0.012589,0.040606740929859095,-0.010282133623145187,0.041039241025643144,-0.010461240278970312
0.015849,0.03951932383144551,-0.009113366697002839,0.03985755357965223,-0.009326575981615792
0.019953,0.03856629404354767,-0.00804494958277692,0.03883546301321945,-0.008306639788005702
0.025119,0.03773445890891119,-0.007075702921918925,0.03793874241360881,-0.007407565190326079
0.031623,0.037013908851197805,-0.006209940124316647,0.03714070653455808,-0.006616242136295451
0.039811,0.03639992299924442,-0.005450664199993216,0.036427294845958656,-0.005916801913886637
0.050119,0.035883179203561086,-0.004804611324614652,0.03579037542717295,-0.0052980156160892565
0.063096,0.03544780816944048,-0.0042630212172992624,0.03522245538447938,-0.0047524328144822915
0.079433,0.03506693121253139,-0.003816723014957778,0.034715970616952495,-0.00427396311016024
0.1,0.034721707243418394,-0.003465230467686932,0.03426398452425186,-0.0038573271125716038
0.12589,0.03440366308110683,-0.0031936182833490197,0.033860311400674935,-0.0034983162163677974
0.15849,0.03410783765793668,-0.0029843274850640607,0.0334991590817216,-0.003193720886492691
0.19953,0.033821109172144787,-0.0028420187384119175,0.03317529796537495,-0.002941634527973575
0.25119,0.03353616639243526,-0.0027510821389620833,0.03288360715682173,-0.002741264048772096
0.31623,0.0332524554516705,-0.0027092774650327093,0.03261883434475116,-0.002593040626563742
0.39811,0.03295910966053001,-0.002716402585530142,0.032375407713279576,-0.0024988140969843054
0.50119,0.03265642728210896,-0.0027688021541761596,0.032146845538545896,-0.002461839233145039
0.63096,0.03232796211965539,-0.0028687505233332576,0.0319250729285479,-0.002486751908888688
0.79433,0.03197349380289498,-0.002995332546857452,0.03169943642333247,-0.002579283843146885
1.0,0.03158436174556338,-0.0031633863009665544,0.031455387129474044,-0.002745467712201074
1.2589,0.031069936132208306,-0.0034345232421858604,0.031172976988839737,-0.0029898733493850076
1.5849,0.030461419854177326,-0.003652697342055591,0.03082545901559526,-0.0033124333279837548
1.9953,0.029900714166654168,-0.00389594513544332,0.03037979267203139,-0.0037028117382083827
2.5119,0.029379111339927506,-0.0041496368125138496,0.029800581673974334,-0.0041334700292569426
3.1623,0.028614488514401064,-0.0043563647278047945,0.029060641403334687,-0.004553956793653082
3.9811,0.027877380810968015,-0.004528514961203703,0.02815876934087646,-0.004892927512121892
5.0119,0.027051941695755265,-0.004623972802104744,0.02713598033861049,-0.005076058386223105
6.3096,0.02622642987302172,-0.00463483440841946,0.026075163426865194,-0.005056914782079064
7.9433,0.02539677675995668,-0.004562544489738368,0.02507495197285284,-0.004841718756146948
10.0,0.024674033206038913,-0.0044183840649258165,0.024212005946723056,-0.004486966389675464
12.589,0.023984220630662276,-0.004213943600562558,0.02351850286219842,-0.004072121457140537
15.849,0.023376189861574193,-0.00397620055979716,0.022984834275825337,-0.003669704423907878
19.953,0.022795788586331325,-0.0037290248504921668,0.022577106605453923,-0.003330360541042265
25.119,0.022290491192888506,-0.0035578892246933775,0.022252643207541566,-0.003081553686220242
31.623,0.02183347892172112,-0.0033509582749051627,0.021968855008110546,-0.0029327746848457426
39.811,0.021423948245372654,-0.0031826464281827804,0.021686241115713392,-0.0028804550917388757
50.119,0.021044983846558948,-0.0030507184111723995,0.02136884626965556,-0.002909612082779958
63.096,0.02061274834162727,-0.0029386920239828154,0.02098614102718433,-0.002992930870376927
79.433,0.02020959510042839,-0.002848034411523496,0.02051860581542694,-0.003089843345932889
100.0,0.019760492004316906,-0.0027583877127425357,0.019966677932726454,-0.0031502732084724952
125.89,0.019397188854563818,-0.0026767011351060705,0.019357759041479967,-0.003126848356600941
158.49,0.01898347057349932,-0.002575856490231119,0.018742194628625402,-0.00299255182793838
199.53,0.018562859805406066,-0.002455805016755156,0.018176438544487975,-0.002752301363643596
251.19,0.018173948838613962,-0.0023163152672671405,0.017701612260239606,-0.0024383448078766808
316.23,0.017777098024495532,-0.002149498808757098,0.01733305689388158,-0.002093232206692145
398.11,0.017382944047369668,-0.0019492643145405137,0.0170642635438282,-0.0017538073145466641
501.19,0.017027408256891644,-0.0017151675874650793,0.01687709111099169,-0.0014437434603324316
630.96,0.016664493440403796,-0.0014357936694323731,0.016750954830932113,-0.0011740507617780498
794.33,0.016338702344109557,-0.001109438368794195,0.016667835052207723,-0.0009469144154946313
1000.0,0.0160611742499297,-0.0007287022309982213,0.016613875414808306,-0.0007595902460237648
1258.9,0.01580888106340524,-0.0002827724289657194,0.01657919129687485,-0.0006071890163163547
